"","ReefName","CullSiteName","Year","MaxCPUE","CPUE","Total","Bottomtime","cots_density_cpue","cots_problem","x","y","benthic_class","geomorphic_class","dist_to_benth","dist_to_geo","infill_benth","infill_geo"
"1","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_128",2020,0.09375,0.0917874396135266,57,621,0.0917874396135266,1,147.702,-18.8857,"Rubble","Reef Slope",0,0,NA,NA
"2","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_128",2021,0.0541666666666667,0.038860103626943,30,772,0.038860103626943,1,147.702,-18.8857,"Rubble","Reef Slope",0,0,NA,NA
"3","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_128",2022,0.118421052631579,0.0466230936819172,107,2295,0.0466230936819172,1,147.702,-18.8857,"Rubble","Reef Slope",0,0,NA,NA
"4","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_128",2023,0.06,0.0358333333333333,43,1200,0.0358333333333333,1,147.702,-18.8857,"Rubble","Reef Slope",0,0,NA,NA
"5","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_128",2024,0.024,0.0189473684210526,18,950,0.0189473684210526,0,147.702,-18.8857,"Rubble","Reef Slope",0,0,NA,NA
"6","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_128",2025,0.0325,0.0275,22,800,0.0275,1,147.702,-18.8857,"Rubble","Reef Slope",0,0,NA,NA
"7","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_129",2020,0,0,0,703,0,0,147.7876,-18.9218,"Sand","Sheltered Reef Slope",0,0,NA,NA
"8","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_130",2020,0.015625,0.00966183574879227,6,621,0.00966183574879227,0,147.7177,-18.8726,"Rock","Reef Slope",68.4446200104366,33.7151916634691,"Rock","Reef Slope"
"9","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_130",2023,0.005,0.005,2,400,0.005,0,147.7177,-18.8726,"Rock","Reef Slope",68.4446200104366,33.7151916634691,"Rock","Reef Slope"
"10","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_130",2025,0.0291666666666667,0.0159090909090909,7,440,0.0159090909090909,0,147.7177,-18.8726,"Rock","Reef Slope",68.4446200104366,33.7151916634691,"Rock","Reef Slope"
"11","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_131",2020,0.0142857142857143,0.00782122905027933,7,895,0.00782122905027933,0,147.717,-18.8775,"Rock","Sheltered Reef Slope",0,0,NA,NA
"12","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_131",2021,0.00714285714285714,0.00714285714285714,2,280,0.00714285714285714,0,147.717,-18.8775,"Rock","Sheltered Reef Slope",0,0,NA,NA
"13","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_131",2024,0.00222222222222222,0.00222222222222222,2,900,0.00222222222222222,0,147.717,-18.8775,"Rock","Sheltered Reef Slope",0,0,NA,NA
"14","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_132",2020,0.06875,0.0530035335689046,135,2547,0.0530035335689046,1,147.716,-18.8808,"Rock","Back Reef Slope",29.9612572388361,0,"Rock",NA
